
2022/06/30 (12:53:42) | ===> btop++ v.1.2.3
2022/06/30 (12:53:42) | ERROR: Failed to get size of terminal!

2025/03/25 (15:37:59) | ===> btop++ v.1.4.0
2025/03/25 (15:37:59) | ERROR: Couldn't determine terminal size of "STDOUT_FILENO"!

2025/04/07 (10:44:40) | ===> btop++ v.1.4.0
2025/04/07 (10:44:40) | ERROR: Stall in Runner thread, restarting!

2025/04/07 (12:09:23) | ===> btop++ v.1.4.0
2025/04/07 (12:09:23) | WARNING: Failed to join _runner thread on exit!

2025/04/07 (13:55:50) | ===> btop++ v.1.4.0
2025/04/07 (13:55:50) | ERROR: Stall in Runner thread, restarting!
